time,I_750,I_800,I_850,I_900
2145,0.0884363784364,0.105009435009,0.164797794798,0.166938616939
2160,0.0905339105339,0.107147667148,0.167766307766,0.169911199911
2175,0.0917079217079,0.108533318533,0.171553261553,0.173797868798
2190,0.0935372035372,0.110794020794,0.174107004107,0.17534021534
2205,0.0950656750657,0.112924852925,0.176278536279,0.178694083694
2220,0.0970444370444,0.114740814741,0.180316720317,0.180937395937
2235,0.0985803085803,0.1166999667,0.183863173863,0.184636474636
2250,0.100368520369,0.119294039294,0.186457246457,0.187706737707
2265,0.102953712954,0.121228031228,0.189050579051,0.189803529804
2280,0.104047804048,0.122501202501,0.192545972546,0.192499167499
2295,0.10543974544,0.124788544789,0.196445036445,0.195533355533
2310,0.10785991786,0.127387797388,0.198515188515,0.198342213342
2325,0.108869278869,0.128511118511,0.200916490916,0.201467976468
2340,0.11146002146,0.131801901802,0.205086395086,0.204193029193
2355,0.113566433566,0.133167573168,0.20711954712,0.206496836497
2370,0.115055685056,0.135592925593,0.210407740408,0.209367854368
2385,0.116695156695,0.13846967847,0.213634513635,0.21304029304
2400,0.118805268805,0.13965996966,0.217730787731,0.216450771451
2415,0.121100751101,0.142150812151,0.220514670515,0.219777999778
2430,0.122974062974,0.145587005587,0.224276464276,0.223246753247
2445,0.125445665446,0.147765567766,0.227952787953,0.225946275946
2460,0.127076257076,0.149461279461,0.231528841529,0.228962703963
2475,0.1292004292,0.151797091797,0.23462981463,0.232999778
2490,0.131027861028,0.154292004292,0.237914307914,0.235197580198
2505,0.133426943427,0.155877085877,0.240476190476,0.238583638584
2520,0.135672105672,0.15835016835,0.245073815074,0.242143412143
2535,0.137380767381,0.161117031117,0.248516298516,0.245608280608
2550,0.139901579902,0.163743663744,0.252770932771,0.248849483849
2565,0.142314352314,0.166091316091,0.256282606283,0.252686757687
2580,0.14428016428,0.168407148407,0.260161320161,0.2552997003
2595,0.144589484589,0.169147889148,0.260364820365,0.25692973693
2610,0.147185037185,0.172264402264,0.264995374995,0.260664890665
2625,0.148796758797,0.174494764495,0.268226958227,0.262935952936
2640,0.151686091686,0.177506197506,0.272207052207,0.266466311466
2655,0.153418063418,0.179002109002,0.274630924631,0.269753024753
2670,0.154851444851,0.181566951567,0.27730972731,0.271929181929
2685,0.156113886114,0.183187553188,0.280021090021,0.274080919081
2700,0.158786028786,0.183710733711,0.282099012099,0.276232101232
2715,0.160243830244,0.187048877049,0.286894216894,0.279647574648
2730,0.162325082325,0.188755688756,0.289154549155,0.281704406704
2745,0.164351574352,0.190057720058,0.291986901987,0.284978354978
2760,0.166512376512,0.192942982943,0.294660524661,0.287220557221
2775,0.167841787842,0.194972434972,0.297788877789,0.290755910756
2790,0.169156399156,0.196441706442,0.300397750398,0.292367632368
2805,0.171598031598,0.198777518778,0.303262663263,0.296667221667
2820,0.173546823547,0.201450771451,0.306676656677,0.298947718948
2835,0.175084545085,0.203257113257,0.311218041218,0.302827727828
2850,0.177798127798,0.205824175824,0.314696784697,0.30648962149
2865,0.179561919562,0.208833388833,0.317673437673,0.308827283827
2880,0.182003552004,0.210452880453,0.320424390424,0.312406482406
2895,0.182608132608,0.210821400821,0.321045251045,0.312616272616
2910,0.185002035002,0.2156003256,0.324065934066,0.317521367521
2925,0.187728197728,0.217154327154,0.328713138713,0.320345210345
2940,0.190321900322,0.219902689903,0.332576682577,0.32407037407
2955,0.191507381507,0.222504532505,0.336033226033,0.326318126318
2970,0.194241684242,0.224872534873,0.339964109964,0.330594960595
2985,0.197444407444,0.227977577978,0.34450993451,0.334778554779
3000,0.199411699412,0.229839049839,0.348316868317,0.338031968032
3015,0.201542531543,0.232881562882,0.351391941392,0.340989010989
3030,0.203675953676,0.236187146187,0.355584785585,0.344654789655
3045,0.206008066008,0.238405298405,0.360098420098,0.347670662671
3060,0.209014319014,0.240239390239,0.362787212787,0.352188922189
3075,0.211304251304,0.242911902912,0.366688866689,0.355333555334
3090,0.214003404003,0.246905316905,0.370820660821,0.358095793096
3105,0.217202797203,0.248362748363,0.374614274614,0.36143967144
3120,0.218880748881,0.251448921449,0.378815628816,0.364621489621
3135,0.220967920968,0.253934953935,0.381838901839,0.367738372738
3150,0.222953342953,0.256237836238,0.385753505754,0.371801531802
3165,0.225469345469,0.259478299478,0.389775409775,0.373849483849
3180,0.228134088134,0.261540681541,0.392733192733,0.37694971695
3195,0.230553520554,0.264188034188,0.396414326414,0.380671550672
3210,0.233124653125,0.267947607948,0.400597180597,0.383521478521
3225,0.234119214119,0.268584008584,0.403561623562,0.385456210456
3240,0.236815036815,0.271003071003,0.406892366892,0.389643689644
3255,0.23891034891,0.27317978318,0.409834239834,0.391747141747
3270,0.238111518112,0.274326414326,0.409377289377,0.392387057387
3285,0.240365190365,0.276620786621,0.415188145188,0.395804750805
3300,0.24238021238,0.277715987716,0.414850704851,0.398312243312
3315,0.244726754727,0.281576571577,0.419305509306,0.401232656233
3330,0.246908646909,0.282496762497,0.421503681504,0.405254190254
3345,0.249409479409,0.285892995893,0.425844155844,0.40744977245
3360,0.252556702557,0.288812298812,0.430106560107,0.410814740815
3375,0.253975653976,0.291094091094,0.432274392274,0.412994782995
3390,0.256318126318,0.292907462907,0.43622044622,0.416812631813
3405,0.258592518593,0.294880674881,0.439382099382,0.41970973471
3420,0.26105006105,0.298258038258,0.444493284493,0.423180708181
3435,0.263733673734,0.300135790136,0.446159396159,0.425725940726
3450,0.265788285788,0.301181041181,0.449687349687,0.428793983794
3465,0.26812039812,0.306354016354,0.45481962482,0.433421578422
3480,0.27913974914,0.317096607097,0.470088060088,0.44844988345
3495,0.292841972842,0.33298035298,0.492361712362,0.465574980575
3510,0.306595996596,0.346791356791,0.511512561513,0.484231324231
3525,0.319489029489,0.359887889888,0.529509379509,0.502250527251
3540,0.333520923521,0.375384985385,0.549100899101,0.519674769675
3555,0.346843526844,0.39014023014,0.568756428756,0.535211455211
3570,0.359268879269,0.403721463721,0.588255448255,0.551959151959
3585,0.372613682614,0.416879046879,0.60567025567,0.569398379398
3600,0.385984015984,0.43050986051,0.621637251637,0.585733710734
3615,0.399347689348,0.445493395493,0.64148037148,0.601232101232
3630,0.412766862767,0.459783549784,0.660125430125,0.617011877012
3645,0.42420986421,0.472716172716,0.677559477559,0.632270507271
3660,0.437722277722,0.484633144633,0.694767454767,0.647563547564
3675,0.450200540201,0.499244089244,0.710501720502,0.66436008436
3690,0.462394642395,0.511291671292,0.72687978688,0.677740592741
3705,0.473123543124,0.521996151996,0.743038073038,0.691462981463
3720,0.486587856588,0.538008288008,0.761638731639,0.707216672217
3735,0.497982017982,0.547237207237,0.774612054612,0.720130980131
3750,0.511474821475,0.562968512969,0.793404003404,0.737942057942
3765,0.52601953602,0.578107448107,0.810773300773,0.752735042735
3780,0.538203278203,0.591381951382,0.825952565953,0.767291597292
3795,0.551411551412,0.604614644615,0.843865763866,0.781608946609
3810,0.565738335738,0.618282088282,0.862205572206,0.797535242535
3825,0.577025197025,0.631099271099,0.879695119695,0.810541680542
3840,0.588875568876,0.644553224553,0.894443334443,0.826042846043
3855,0.601572131572,0.65716024716,0.910542420542,0.841270951271
3870,0.615247345247,0.669085359085,0.925511895512,0.854408924409
3885,0.628386798387,0.684097014097,0.942175972176,0.86881007881
3900,0.639257779258,0.693633033633,0.958191438191,0.882131202131
3915,0.653687423687,0.707435897436,0.96304029304,0.896868131868
3930,0.665001295001,0.721142931143,0.963055833056,0.911224331224
3945,0.678339068339,0.732885262885,0.963035853036,0.923457098457
3960,0.690442520443,0.745232915233,0.9631002331,0.937477522478
3975,0.704628704629,0.757579457579,0.963139083139,0.950636030636
3990,0.715468605469,0.770771820772,0.963071373071,0.96138028638
4005,0.728131128131,0.784166944167,0.963043623044,0.963043623044
4020,0.740157990158,0.796950826951,0.963153513154,0.963153513154
4035,0.752243312243,0.807334887335,0.96311022311,0.96311022311
4050,0.765793465793,0.820168720169,0.963196803197,0.963196803197
4065,0.775420505421,0.829771339771,0.963055833056,0.963055833056
4080,0.789647389647,0.843233063233,0.963119103119,0.963119103119
4095,0.79734968735,0.85257964258,0.963031413031,0.963031413031
4110,0.80312983313,0.85814000814,0.963113553114,0.963113553114
4125,0.817001887002,0.871165501166,0.963033633034,0.963033633034
4140,0.833180893181,0.88578976579,0.963103563104,0.963103563104
4155,0.848693528694,0.901009361009,0.963101343101,0.963101343101
4170,0.858529248529,0.912953342953,0.963046953047,0.963046953047
4185,0.871309431309,0.924056684057,0.963063603064,0.963063603064
4200,0.878092278092,0.932182632183,0.963139083139,0.963139083139
4215,0.892820512821,0.944892144892,0.963223443223,0.963223443223
4230,0.906543086543,0.957882117882,0.962985902986,0.962985902986
4245,0.916018056018,0.961935841936,0.963083583084,0.963083583084
4260,0.928630628631,0.963103563104,0.963103563104,0.963103563104
4275,0.941075221075,0.963012543013,0.963012543013,0.963012543013
4290,0.952761312761,0.963221223221,0.963221223221,0.963221223221
4305,0.961551411551,0.963073593074,0.963073593074,0.963073593074
4320,0.963004773005,0.963004773005,0.963004773005,0.963004773005
4335,0.963074703075,0.963074703075,0.963074703075,0.963074703075
4350,0.963106893107,0.963106893107,0.963106893107,0.963106893107
,,,,
